conc,longitude,latitude,Date
13000,-75.7141944,40.155,7/9/1991
10000,-75.621,40.1475278,7/9/1991
9000,-75.5681111,40.1409444,7/9/1991
36000,-75.5392778,40.1300278,7/9/1991
12000,-75.5114167,40.136,7/9/1991
5950,-75.7730277,40.2055,3/26/2002
7940,-75.7730277,40.2055,11/6/2002
13990,-75.7704722,40.2081388,3/26/2002
9700,-75.7704722,40.2081388,11/6/2002
11190,-75.7592777,40.2086388,8/21/2002
1950,-75.7592777,40.2086388,11/6/2002
7450,-75.7644722,40.1960277,3/26/2002
2520,-75.76875,40.1969444,11/6/2002
4000,-75.7680556,40.1877778,5/16/1995
23000,-75.7952778,40.1480556,7/9/1991
13000,-75.7147222,40.1538889,7/9/1991
13000,-75.7147222,40.1538889,5/25/1995
8000,-75.6911111,40.1708333,5/25/1995
8000,-75.6294444,40.1511111,5/25/1995
8000,-75.7675278,40.1880556,10/15/1969
16000,-75.7675278,40.1880556,1/15/1970
10000,-75.7278056,40.1690278,10/15/1969
16000,-75.7278056,40.1690278,1/15/1970
13000,-75.6905,40.1713889,10/15/1969
38000,-75.7141111,40.155,7/15/1969
14000,-75.7141111,40.155,10/15/1969
18000,-75.7141111,40.155,1/15/1970
19000,-75.7141111,40.155,4/15/1970
7600,-75.7704722,40.2081389,3/23/1993
1600,-75.7592778,40.2086389,11/18/1992
1400,-75.7592778,40.2086389,3/23/1993
4200,-75.7644722,40.1960278,3/23/1993
3000,-75.76875,40.1969444,11/18/1992
40000,-75.4676389,40.0508056,5/25/1993
40000,-75.4676389,40.0508056,6/24/1993
41000,-75.4676389,40.0508056,8/25/1993
38000,-75.4676389,40.0508056,9/29/1993
33000,-75.4676389,40.0508056,11/1/1993
42000,-75.4676389,40.0508056,5/26/1994
42000,-75.4676389,40.0508056,9/28/1994
46000,-75.4676389,40.0508056,11/15/1994
26000,-75.5661111,40.0315833,5/25/1993
27000,-75.5661111,40.0315833,7/22/1993
24000,-75.5661111,40.0315833,8/25/1993
27000,-75.5661111,40.0315833,9/29/1993
21000,-75.5661111,40.0315833,11/1/1993
26000,-75.5661111,40.0315833,4/28/1994
29000,-75.5661111,40.0315833,6/26/1994
32000,-75.5871667,40.0554167,4/29/1993
36000,-75.5871667,40.0554167,6/24/1993
46000,-75.4568611,40.0811389,5/25/1993
45000,-75.4568611,40.0811389,6/24/1993
46000,-75.4568611,40.0811389,7/22/1993
42000,-75.4568611,40.0811389,9/29/1993
33000,-75.4568611,40.0811389,11/1/1993
39000,-75.5647778,40.0444722,6/25/1969
80000,-75.5549167,40.0508611,8/19/1974
45000,-75.4721944,40.0670278,8/19/1974
36000,-75.456414,40.087206,8/19/1974
45000,-75.5505556,40.0514167,6/19/1975
60000,-75.5324722,40.0569444,6/19/1975
77000,-75.5063056,40.0540833,6/19/1975
41000,-75.4721667,40.067,6/19/1975
31000,-75.5568611,40.0508333,3/1/1976
50000,-75.5525833,40.0510278,3/1/1976
45000,-75.5309722,40.0589167,3/1/1976
37000,-75.4733056,40.06975,3/1/1976
42000,-75.52525,40.049,3/1/1976
45000,-75.4722222,40.067,3/1/1976
38000,-75.4569444,40.0812222,3/1/1976
44000,-75.5569444,40.0508611,7/11/1978
66000,-75.5525833,40.0510833,7/11/1978
38000,-75.4732778,40.0696667,7/11/1978
66000,-75.4979722,40.0548333,7/11/1978
45000,-75.4721667,40.0669167,7/11/1978
41000,-75.457,40.0811667,7/11/1978
50000,-75.5523333,40.0510833,9/19/1984
92000,-75.5308889,40.0588611,9/19/1984
45000,-75.5168889,40.0674722,9/19/1984
36000,-75.5659444,40.0313333,3/21/1991
20000,-75.5661389,40.0315833,3/21/1991
28000,-75.5658333,40.031,3/21/1991
37000,-75.5753056,40.0430833,6/14/1994
48000,-75.5635833,40.0474444,6/14/1994
26000,-75.5646667,40.0520833,6/14/1994
246000,-75.5565556,40.0541389,1/12/1994
67000,-75.5185833,40.04975,1/31/1994
85000,-75.5135278,40.0506389,1/31/1994
44000,-75.55775,40.0508611,4/14/1998
18400,-75.5311111,40.1491667,6/23/1981
21200,-75.5311111,40.1491667,9/29/1981
17300,-75.5311111,40.1491667,6/3/1982
15900,-75.5311111,40.1491667,8/25/1982
15400,-75.5311111,40.1491667,6/7/1983
22200,-75.5311111,40.1491667,8/23/1983
31700,-75.5311111,40.1491667,4/2/1985
21700,-75.5311111,40.1491667,8/7/1986
11950,-75.5311111,40.1491667,5/11/1987
20500,-75.5311111,40.1491667,10/5/1988
19400,-75.5311111,40.1491667,4/9/1991
15700,-75.5311111,40.1491667,10/7/1991
17500,-75.5311111,40.1491667,11/18/1992
11800,-75.5311111,40.1491667,10/19/1993
9300,-75.5311111,40.1491667,4/12/1994
15800,-75.5311111,40.1491667,7/11/1994
17200,-75.5311111,40.1491667,2/6/1995
12200,-75.5311111,40.1491667,4/20/1995
11200,-75.5311111,40.1491667,6/7/1995
24800,-75.5311111,40.1491667,4/8/1996
22300,-75.5311111,40.1491667,3/25/1997
5000,-75.6255556,40.0916667,1/11/1970
25000,-75.6255556,40.0916667,2/18/1970
13950,-75.6255556,40.0916667,9/28/1970
13500,-75.6255556,40.0916667,9/27/1971
11900,-75.6255556,40.0916667,6/23/1981
16130,-75.6255556,40.0916667,8/24/1982
15700,-75.6255556,40.0916667,6/8/1983
9920,-75.6255556,40.0916667,8/24/1983
25790,-75.6255556,40.0916667,4/8/1985
12500,-75.6255556,40.0916667,8/5/1985
17900,-75.6255556,40.0916667,2/18/1987
13900,-75.6255556,40.0916667,5/12/1987
30200,-75.6255556,40.0916667,10/3/1988
19000,-75.6255556,40.0916667,4/13/1992
16200,-75.6255556,40.0916667,11/17/1992
11500,-75.6255556,40.0916667,4/19/1994
9200,-75.6255556,40.0916667,2/6/1995
13400,-75.6255556,40.0916667,4/19/1995
21600,-75.6255556,40.0916667,3/18/1996
21200,-75.6255556,40.0916667,9/24/1996
25900,-75.6255556,40.0916667,3/18/1997
20000,-75.4925,40.1226667,2/18/1970
26500,-75.4925,40.1226667,2/18/1970
8430,-75.4925,40.1226667,5/5/1970
7410,-75.4925,40.1226667,5/6/1970
11360,-75.4925,40.1226667,9/28/1970
11880,-75.4925,40.1226667,9/28/1970
12290,-75.4925,40.1226667,5/3/1971
13770,-75.4925,40.1226667,9/27/1971
14410,-75.4925,40.1226667,9/27/1971
10880,-75.4925,40.1226667,10/3/1972
10860,-75.4925,40.1226667,4/16/1979
11900,-75.4925,40.1226667,6/23/1981
16600,-75.4925,40.1226667,5/13/1982
20200,-75.4925,40.1226667,8/24/1982
15700,-75.4925,40.1226667,6/8/1983
13890,-75.4925,40.1226667,8/24/1983
16500,-75.4925,40.1226667,4/28/1986
14100,-75.4925,40.1226667,8/6/1986
18600,-75.4925,40.1226667,5/12/1987
24600,-75.4925,40.1226667,8/8/1990
50400,-75.4925,40.1226667,2/12/1991
18400,-75.4925,40.1226667,11/17/1992
12960,-75.4925,40.1226667,7/11/1994
16100,-75.4925,40.1226667,12/8/1994
14500,-75.4925,40.1226667,2/6/1995
13200,-75.4925,40.1226667,9/21/1995
28100,-75.4925,40.1226667,3/18/1996
23800,-75.4925,40.1226667,3/18/1997
15200,-75.4925556,40.1228056,4/16/1979
14800,-75.4925556,40.1228056,9/29/1981
16200,-75.4925556,40.1228056,2/4/1982
17200,-75.4925556,40.1228056,5/13/1982
20200,-75.4925556,40.1228056,2/2/1983
15900,-75.4925556,40.1228056,8/24/1983
17700,-75.4925556,40.1228056,8/5/1985
18900,-75.4925556,40.1228056,4/28/1986
18100,-75.4925556,40.1228056,8/6/1986
16200,-75.4925556,40.1228056,12/17/1986
15900,-75.4925556,40.1228056,6/9/1988
25900,-75.4925556,40.1228056,10/3/1988
24600,-75.4925556,40.1228056,8/8/1990
23500,-75.4925556,40.1228056,2/12/1991
21600,-75.4925556,40.1228056,4/10/1991
9400,-75.4925556,40.1228056,9/10/1991
20500,-75.4925556,40.1228056,11/17/1992
13000,-75.4925556,40.1228056,10/19/1993
35800,-75.4925556,40.1228056,4/19/1994
20200,-75.4925556,40.1228056,7/11/1994
12400,-75.4925556,40.1228056,12/8/1994
14500,-75.4925556,40.1228056,2/6/1995
13200,-75.4925556,40.1228056,9/21/1995
28100,-75.4925556,40.1228056,3/18/1996
49960,-75.622033,40.071281,4/16/1979
32400,-75.622033,40.071281,6/23/1981
40300,-75.622033,40.071281,9/29/1981
39500,-75.622033,40.071281,2/4/1982
39500,-75.622033,40.071281,5/13/1982
29200,-75.622033,40.071281,8/24/1982
42100,-75.622033,40.071281,6/8/1983
41660,-75.622033,40.071281,8/24/1983
106000,-75.622033,40.071281,2/13/1986
38200,-75.622033,40.071281,8/6/1986
16800,-75.622033,40.071281,5/12/1987
39500,-75.622033,40.071281,6/9/1988
67200,-75.622033,40.071281,8/8/1990
48100,-75.622033,40.071281,4/10/1991
11500,-75.622033,40.071281,4/19/1994
33000,-75.622033,40.071281,9/21/1995
77300,-75.622033,40.071281,3/18/1996
17100,-75.4227222,40.0903889,6/18/1981
93400,-75.4227222,40.0903889,1/26/1982
17000,-75.4227222,40.0903889,5/20/1982
21600,-75.4227222,40.0903889,1/20/1983
21800,-75.4227222,40.0903889,8/5/1985
16600,-75.4227222,40.0903889,10/31/1985
40300,-75.4227222,40.0903889,2/13/1986
18900,-75.4227222,40.0903889,4/28/1986
9300,-75.4227222,40.0903889,12/17/1986
22400,-75.4227222,40.0903889,6/20/1988
23600,-75.4227222,40.0903889,2/26/1991
11400,-75.4227222,40.0903889,4/16/1991
25800,-75.4227222,40.0903889,10/9/1991
27300,-75.4227222,40.0903889,5/7/1992
27800,-75.4227222,40.0903889,10/28/1992
38000,-75.4227222,40.0903889,10/7/1993
25900,-75.4227222,40.0903889,6/8/1995
17400,-75.4227222,40.0903889,9/19/1995
37400,-75.4227222,40.0903889,3/17/1997
43400,-75.531181,40.058569,6/18/1981
87200,-75.531181,40.058569,1/26/1982
43300,-75.531181,40.058569,1/20/1983
92000,-75.531181,40.058569,8/25/1983
89280,-75.531181,40.058569,4/8/1985
101900,-75.531181,40.058569,8/5/1985
76300,-75.531181,40.058569,2/13/1986
67200,-75.531181,40.058569,12/17/1986
64700,-75.531181,40.058569,2/18/1987
55700,-75.531181,40.058569,5/12/1987
46900,-75.531181,40.058569,8/14/1990
18200,-75.531181,40.058569,4/16/1991
88500,-75.531181,40.058569,10/9/1991
86800,-75.531181,40.058569,5/7/1992
104400,-75.531181,40.058569,10/28/1992
60800,-75.531181,40.058569,10/7/1993
42600,-75.531181,40.058569,7/12/1994
62600,-75.531181,40.058569,2/7/1995
60800,-75.531181,40.058569,9/19/1995
27140,-75.4723056,40.0701389,11/24/1972
43500,-75.4723056,40.0701389,10/1/1981
41400,-75.4723056,40.0701389,5/26/1982
38300,-75.4723056,40.0701389,8/30/1984
41600,-75.4723056,40.0701389,8/5/1985
47200,-75.4723056,40.0701389,4/28/1986
40160,-75.4723056,40.0701389,8/6/1986
17400,-75.4723056,40.0701389,5/12/1987
49300,-75.4723056,40.0701389,6/20/1988
42500,-75.4723056,40.0701389,2/26/1991
38800,-75.4723056,40.0701389,4/16/1991
47100,-75.4723056,40.0701389,5/7/1992
51000,-75.4723056,40.0701389,10/28/1992
30500,-75.4723056,40.0701389,4/11/1994
26700,-75.4723056,40.0701389,2/7/1995
29200,-75.4723056,40.0701389,4/24/1995
25900,-75.4723056,40.0701389,6/8/1995
58800,-75.4723056,40.0701389,3/13/1996
37400,-75.4723056,40.0701389,9/16/1996
42800,-75.4723056,40.0701389,10/24/1996
43300,-75.462838,40.099753,1/20/1983
42000,-75.462838,40.099753,8/25/1983
36700,-75.462838,40.099753,3/26/1984
54800,-75.462838,40.099753,6/6/1984
37690,-75.462838,40.099753,4/8/1985
36100,-75.462838,40.099753,8/6/1986
35400,-75.462838,40.099753,10/17/1988
18400,-75.462838,40.099753,8/14/1990
39200,-75.462838,40.099753,10/9/1991
46400,-75.462838,40.099753,10/28/1992
27300,-75.462838,40.099753,2/7/1995
14400,-75.462838,40.099753,3/13/1996
57200,-75.462838,40.099753,3/17/1997
46800,-75.5252222,40.0490833,6/18/1981
55600,-75.5252222,40.0490833,8/23/1982
52200,-75.5252222,40.0490833,1/20/1983
43700,-75.5252222,40.0490833,3/26/1984
34500,-75.5252222,40.0490833,6/6/1984
50590,-75.5252222,40.0490833,4/8/1985
48800,-75.5252222,40.0490833,2/13/1986
46000,-75.5252222,40.0490833,4/28/1986
36100,-75.5252222,40.0490833,8/6/1986
43100,-75.5252222,40.0490833,2/18/1987
40100,-75.5252222,40.0490833,2/26/1991
29600,-75.5252222,40.0490833,4/16/1991
39200,-75.5252222,40.0490833,10/9/1991
29200,-75.5252222,40.0490833,4/11/1994
28000,-75.5252222,40.0490833,7/12/1994
24500,-75.5252222,40.0490833,4/24/1995
22300,-75.5252222,40.0490833,9/19/1995
67200,-75.5252222,40.0490833,3/13/1996
7000,-75.5252222,40.0490833,9/16/1996
53900,-75.5252222,40.0490833,3/17/1997
41970,-75.4722778,40.0670278,11/9/1971
50690,-75.4722778,40.0670278,11/24/1972
44500,-75.4722778,40.0670278,6/9/1983
51580,-75.4722778,40.0670278,4/8/1985
48400,-75.4722778,40.0670278,8/5/1985
65700,-75.4722778,40.0670278,2/13/1986
51900,-75.4722778,40.0670278,4/28/1986
46200,-75.4722778,40.0670278,8/6/1986
41800,-75.4722778,40.0670278,5/12/1987
47100,-75.4722778,40.0670278,6/20/1988
55800,-75.4722778,40.0670278,5/7/1992
37900,-75.4722778,40.0670278,4/11/1994
33400,-75.4722778,40.0670278,11/3/1994
37100,-75.4722778,40.0670278,2/7/1995
31900,-75.4722778,40.0670278,6/8/1995
34100,-75.4722778,40.0670278,9/19/1995
97700,-75.4722778,40.0670278,3/13/1996
49200,-75.4722778,40.0670278,9/16/1996
78100,-75.4722778,40.0670278,3/17/1997
2260,-75.4630556,40.1005278,10/3/1972
3100,-75.4710278,40.0695833,10/3/1972
3660,-75.5185278,40.0651111,10/3/1972
97500,-75.5185278,40.0651111,10/3/1983
2260,-75.5641944,40.0469722,10/3/1972
49000,-75.5171111,40.0674722,2/11/1987
75000,-75.5172222,40.0671667,2/11/1987
121000,-75.4523056,40.1126389,7/28/1993
226000,-75.4523056,40.1126389,9/13/1993
187000,-75.4523056,40.1126389,6/20/1994
187000,-75.4523056,40.1126389,7/27/1994
59000,-75.4523056,40.1126389,6/15/1995
91000,-75.4658333,40.0976944,7/28/1993
107000,-75.4658333,40.0976944,10/1/1993
49000,-75.4658333,40.0976944,10/24/1993
26000,-75.4658333,40.0976944,11/24/1993
23000,-75.4658333,40.0976944,8/25/1995
46000,-75.4658333,40.0976944,8/7/1996
103000,-75.4282222,40.1130833,8/4/1993
36000,-75.4282222,40.1130833,10/1/1993
33000,-75.4282222,40.1130833,11/19/1993
215000,-75.4282222,40.1130833,6/17/1994
86000,-75.4282222,40.1130833,6/14/1995
147000,-75.4282222,40.1130833,9/27/1995
90000,-75.4282222,40.1130833,12/17/1996
153000,-75.4282222,40.1130833,7/15/1997
