County,lon,lat ,date
NA,-78.565916,40.35325,5/24/2010
NA,-76.813316,41.747,6/10/2009
NA,-76.85065,41.750325,11/23/2009
NA,-76.709769,41.666425,3/19/2011
NA,-76.709769,41.666425,4/22/2011
NA,-79.930495,40.801149,12/13/2012
NA,-78.26,41.458833,9/30/2009
NA,-78.447156,41.171648,10/14/2009
NA,-78.453222,41.16264,6/3/2010
NA,-77.297331,41.196601,9/1/2009
NA,-77.565895,41.37136,3/26/2010
NA,-77.682964,41.196763,1/7/2011
NA,-80.505565,39.900296,12/17/2014
NA,-79.171569,40.4824,10/26/2012
NA,-77.06335,41.297156,6/1/2009
NA,-76.650053,41.275681,8/12/2010
NA,-77.235,41.32057,10/18/2011
NA,-76.974732,41.454653,10/9/2012
NA,-77.048702,41.54,12/27/2012
NA,-77.317844,41.302558,1/6/2012
NA,-77.317844,41.302558, 1/15/2012
NA,-76.649397,41.247358,11/16/2010
NA,-77.073222,41.403008,7/24/2012
NA,-77.33974,41.30225,3/13/2010
NA,-79.184944,40.033638,6/10/2010
NA,-76.59533,41.54933,9/10/2012
NA,-76.230119,41.533247,11/13/2012
NA,-76.538581,41.533465,1/29/2013
NA,-76.5904,41.5433,8/21/2012
NA,-75.656442,41.882803,12/19/2012
NA,-75.961,41.8943,7/29/2011
NA,-75.961,41.8943,8/10/2011
NA,-75.893311,41.726391,9/16/2009
NA,-75.893311,41.726391,9/22/2009
NA,-80.266622,40.023969,7/5/2011
NA,-80.38125,40.246662,5/26/2009
NA,-80.41914,40.205607,10/6/2009
NA,-80.40589,40.238134,12/6/2009
NA,-80.386183,40.207119,9/13/2011
NA,-80.379338,40.22608,10/30/2011
NA,-80.270604,40.199073,4/21/2014
NA,-79.703361,40.217083,10/30/2009
NA,-75.986012,41.597807,3/13/2013
NA,-75.994727,41.621588,4/30/2013
NA,-76.648742,41.247681,10/16/2012
