Chemical_Analyte_Conc,Longitude,Latitude,Date
11800,-77.115,41.9572,9/2/09
8190,-77.115,41.9572,3/9/11
5780,-77.115,41.9572,5/19/11
8910,-77.115,41.9572,7/12/11
5230,-77.115,41.9572,10/26/11
11430,-77.115,41.9572,8/29/12
11730,-77.115,41.9572,7/23/13
19100,-77.115,41.9572,12/12/13
18160,-77.115,41.9572,11/17/14
16790,-77.115,41.9572,1/12/15
13180,-77.115,41.9572,5/21/15
9500,-77.115,41.9572,7/15/15
20090,-77.115,41.9572,9/30/15
19060,-77.115,41.9572,11/5/15
13270,-77.115,41.9572,12/9/15
11430,-77.115,41.9572,2/8/16
11650,-77.115,41.9572,4/18/16
15380,-77.115,41.9572,8/1/16
16160,-77.115,41.9572,11/7/16
5430,-77.0794,41.7956,5/19/11
6460,-77.0794,41.7956,12/8/11
7840,-77.0794,41.7956,2/22/12
6600,-77.0794,41.7956,6/19/12
6210,-77.0794,41.7956,11/6/12
10020,-77.0794,41.7956,7/22/13
7820,-77.0794,41.7956,4/10/14
14580,-77.0794,41.7956,6/30/14
10440,-77.0794,41.7956,8/14/14
19200,-77.0794,41.7956,3/26/15
14520,-77.0794,41.7956,5/21/15
9170,-77.0794,41.7956,12/9/15
9470,-77.0794,41.7956,2/8/16
8920,-77.0794,41.7956,4/18/16
9740,-77.0794,41.7956,11/7/16
15790,-77.015,41.7908,12/8/15
31500,-77.015,41.7908,8/11/16
17000,-77.060833,41.805833,9/22/97
12900,-77.060833,41.805833,6/19/06
15900,-77.060833,41.805833,6/18/12
12200,-77.234722,41.856111,6/22/06
9600,-77.234722,41.856111,6/18/12
7700,-77.225556,41.856389,6/18/12
14000,-77.069167,41.6775,9/16/97
11400,-77.069167,41.6775,6/18/12
8100,-77.101944,41.873333,6/19/06
7400,-77.064722,41.999722,5/15/12
9000,-77.115833,41.957778,9/23/97
10000,-77.081944,41.805,9/22/97
4830,-77.082778,41.730833,6/19/06
4000,-77.0675,41.678056,9/16/97
1990,-77.0675,41.678056,6/19/06
2300,-77.0675,41.678056,6/18/12
1000,-77.031944,41.653889,9/16/97
1460,-77.031944,41.653889,6/15/06
5140,-77.131904,41.75609,8/25/04
5140,-77.13,41.75,8/25/04
2000,-77.047745,41.658963,8/5/75
1500,-77.047745,41.658963,9/10/75
2100,-77.047745,41.658963,9/7/76
5500,-77.039411,41.66313,7/8/75
2000,-77.039411,41.66313,8/5/75
800,-77.061079,41.671463,8/5/75
900,-77.061079,41.671463,9/10/75
1100,-77.061079,41.671463,3/8/76
1100,-77.061079,41.671463,6/1/76
1500,-77.064412,41.683408,7/8/75
300,-77.064412,41.683408,9/10/75
1200,-77.064412,41.683408,6/1/76
1400,-77.064412,41.683408,9/7/76
3500,-77.068857,41.692019,9/10/75
6300,-77.068857,41.692019,12/9/75
2600,-77.068857,41.692019,3/8/76
3500,-77.068857,41.692019,6/1/76
4800,-77.079968,41.745074,5/12/71
4100,-77.079968,41.745074,4/28/75
6000,-77.080246,41.797018,7/9/75
8000,-77.080246,41.797018,8/6/75
4000,-77.080246,41.797018,10/7/75
4200,-77.080246,41.797018,12/10/75
4000,-77.080246,41.797018,1/7/76
4700,-77.080246,41.797018,2/9/78
3900,-77.080246,41.797018,10/10/79
10100,-77.080246,41.797018,1/11/11
10800,-77.080246,41.797018,7/12/11
6600,-77.080246,41.797018,6/19/12
14200,-77.080246,41.797018,3/6/13
7000,-77.080246,41.797018,5/20/13
17400,-77.080246,41.797018,9/3/13
10400,-77.080246,41.797018,8/14/14
17400,-77.080246,41.797018,11/17/14
14500,-77.080246,41.797018,5/21/15
15500,-77.080246,41.797018,8/6/15
9200,-77.080246,41.797018,12/9/15
9500,-77.080246,41.797018,2/8/16
8900,-77.080246,41.797018,4/18/16
14000,-77.080246,41.797018,6/13/16
9700,-77.080246,41.797018,11/7/16
3600,-77.014688,41.790908,4/2/59
2600,-77.014688,41.790908,4/11/60
16100,-77.070523,41.811185,4/29/09
28600,-77.070523,41.811185,8/11/09
7500,-77.103303,41.841741,9/6/73
7300,-77.103303,41.841741,1/10/74
5000,-77.103303,41.841741,4/2/74
5600,-77.103303,41.841741,5/1/74
5500,-77.103303,41.841741,6/12/74
8000,-77.103303,41.841741,8/14/74
10000,-77.103303,41.841741,9/12/74
2000,-77.103303,41.841741,12/9/74
5500,-77.103303,41.841741,2/3/75
4000,-77.103303,41.841741,5/14/75
5000,-77.103303,41.841741,11/11/75
5000,-77.103303,41.841741,12/10/75
6000,-77.103303,41.841741,2/4/76
5000,-77.103303,41.841741,7/12/76
4600,-77.103303,41.841741,11/9/76
9200,-77.103303,41.841741,12/14/76
8600,-77.103303,41.841741,1/12/77
8300,-77.103303,41.841741,2/8/77
8800,-77.103303,41.841741,4/13/77
5100,-77.103303,41.841741,5/2/77
9600,-77.103303,41.841741,6/9/77
7600,-77.103303,41.841741,7/6/77
9800,-77.103303,41.841741,8/8/77
13000,-77.103303,41.841741,9/15/77
3400,-77.103303,41.841741,10/27/77
9500,-77.103303,41.841741,6/28/78
11000,-77.103303,41.841741,8/24/78
1900,-76.964963,41.815074,3/29/60
2800,-76.964963,41.815074,4/11/60
3400,-76.964963,41.815074,7/12/60
2000,-76.964963,41.815074,4/24/61
2500,-77.117748,41.880629,12/13/73
4500,-77.117748,41.880629,4/2/74
6400,-77.117748,41.880629,7/17/74
7000,-77.117748,41.880629,8/14/74
8200,-77.117748,41.880629,9/12/74
5000,-77.117748,41.880629,1/14/75
5500,-77.117748,41.880629,3/5/75
6000,-77.117748,41.880629,4/1/75
3500,-77.117748,41.880629,6/10/75
8000,-77.117748,41.880629,7/9/75
4000,-77.117748,41.880629,3/9/76
5300,-77.117748,41.880629,7/12/76
4300,-77.117748,41.880629,8/10/76
5000,-77.117748,41.880629,11/9/76
7000,-77.117748,41.880629,1/12/77
5400,-77.117748,41.880629,4/13/77
4700,-77.117748,41.880629,5/2/77
7500,-77.117748,41.880629,7/6/77
5000,-77.117748,41.880629,10/27/77
4900,-77.117748,41.880629,2/9/78
6500,-77.117748,41.880629,6/28/78
6400,-77.117748,41.880629,7/25/78
10000,-77.129415,41.908407,10/19/65
6100,-77.129415,41.908407,9/23/71
14000,-77.129415,41.908407,12/7/71
6000,-77.129415,41.908407,3/29/72
4200,-77.129415,41.908407,6/22/72
10000,-77.129415,41.908407,9/6/73
16000,-77.129415,41.908407,9/20/73
8700,-77.129415,41.908407,10/9/73
3000,-77.129415,41.908407,11/6/73
6000,-77.129415,41.908407,2/13/74
7000,-77.129415,41.908407,4/2/74
5000,-77.129415,41.908407,6/12/74
9000,-77.129415,41.908407,8/14/74
8000,-77.129415,41.908407,11/7/74
3500,-77.129415,41.908407,12/9/74
5500,-77.129415,41.908407,2/3/75
4000,-77.129415,41.908407,5/14/75
4500,-77.129415,41.908407,6/10/75
12000,-77.129415,41.908407,8/6/75
11000,-77.129415,41.908407,9/11/75
5000,-77.129415,41.908407,10/7/75
5000,-77.129415,41.908407,11/11/75
4000,-77.129415,41.908407,3/9/76
3200,-77.129415,41.908407,5/6/76
5000,-77.129415,41.908407,5/25/76
5300,-77.129415,41.908407,6/2/76
4900,-77.129415,41.908407,7/13/76
6900,-77.129415,41.908407,9/8/76
5400,-77.129415,41.908407,11/10/76
9200,-77.129415,41.908407,1/12/77
4800,-77.129415,41.908407,3/7/77
5900,-77.129415,41.908407,4/13/77
8600,-77.129415,41.908407,6/9/77
7700,-77.129415,41.908407,7/6/77
11000,-77.129415,41.908407,8/8/77
4300,-77.129415,41.908407,10/27/77
5300,-77.129415,41.908407,2/9/78
2500,-77.129415,41.908407,3/24/78
3900,-77.129415,41.908407,5/25/78
7700,-77.129415,41.908407,6/28/78
2500,-77.398036,41.875905,5/11/65
6500,-77.398036,41.875905,10/3/67
8500,-77.398036,41.875905,5/7/68
12000,-77.398036,41.875905,9/26/68
17000,-77.398036,41.875905,9/23/69
6200,-77.276365,41.842573,1/9/74
7000,-77.276365,41.842573,2/14/74
3000,-77.276365,41.842573,4/4/74
5500,-77.276365,41.842573,5/3/74
9000,-77.276365,41.842573,8/16/74
6600,-77.276365,41.842573,7/13/76
11000,-77.276365,41.842573,9/7/76
7200,-77.276365,41.842573,11/9/76
9300,-77.276365,41.842573,12/14/76
7800,-77.276365,41.842573,6/9/77
9400,-77.276365,41.842573,7/6/77
11000,-77.276365,41.842573,9/15/77
6600,-77.148305,41.902296,8/18/66
13000,-77.148305,41.902296,9/22/71
4400,-77.148305,41.902296,3/29/72
4500,-77.148305,41.902296,1/8/74
4000,-77.148305,41.902296,4/2/74
4000,-77.148305,41.902296,5/1/74
5800,-77.148305,41.902296,7/17/74
7000,-77.148305,41.902296,8/14/74
8000,-77.148305,41.902296,9/12/74
5000,-77.148305,41.902296,3/5/75
3500,-77.14136,41.908407,5/14/75
3000,-77.14136,41.908407,6/10/75
9000,-77.14136,41.908407,8/6/75
9000,-77.14136,41.908407,9/11/75
6000,-77.14136,41.908407,11/11/75
6300,-77.14136,41.908407,12/10/75
4000,-77.14136,41.908407,3/9/76
4700,-77.14136,41.908407,6/2/76
7400,-77.14136,41.908407,8/11/76
8800,-77.14136,41.908407,10/7/76
8000,-77.14136,41.908407,1/12/77
5000,-77.14136,41.908407,3/7/77
9300,-77.14136,41.908407,8/8/77
10000,-77.14136,41.908407,9/15/77
5400,-77.14136,41.908407,2/9/78
4600,-77.14136,41.908407,5/25/78
10000,-77.14136,41.908407,6/28/78
9700,-77.14136,41.908407,8/24/78
9500,-77.14136,41.908407,9/28/78
4000,-77.137471,41.910629,9/30/64
13000,-77.137471,41.910629,10/26/72
13000,-77.137471,41.910629,1/17/73
22000,-77.137471,41.910629,9/12/73
6000,-77.137471,41.910629,10/29/75
5000,-77.137471,41.910629,5/25/76
15000,-77.115249,41.952574,10/23/69
15000,-77.115249,41.952574,3/25/70
4600,-77.115249,41.952574,3/17/71
8000,-77.115249,41.952574,6/21/72
20000,-77.115249,41.952574,1/17/73
5100,-77.115249,41.952574,1/8/74
5500,-77.115249,41.952574,2/13/74
7000,-77.115249,41.952574,5/1/74
6000,-77.115249,41.952574,6/12/74
7000,-77.115249,41.952574,7/17/74
9000,-77.115249,41.952574,8/14/74
10000,-77.115249,41.952574,9/13/74
4000,-77.115249,41.952574,12/9/74
5000,-77.115249,41.952574,2/3/75
4000,-77.115249,41.952574,5/14/75
4000,-77.115249,41.952574,6/10/75
10000,-77.115249,41.952574,9/11/75
6000,-77.115249,41.952574,10/7/75
6000,-77.115249,41.952574,10/29/75
5500,-77.115249,41.952574,11/11/75
5500,-77.115249,41.952574,12/10/75
4000,-77.115249,41.952574,3/9/76
5000,-77.115249,41.952574,3/9/76
4400,-77.115249,41.952574,4/6/76
5000,-77.115249,41.952574,5/25/76
5000,-77.115249,41.952574,6/2/76
6000,-77.115249,41.952574,6/29/76
22000,-77.115249,41.952574,7/21/76
7500,-77.115249,41.952574,9/8/76
9800,-77.115249,41.952574,10/7/76
6300,-77.115249,41.952574,11/10/76
8800,-77.115249,41.952574,12/14/76
8100,-77.115249,41.952574,1/12/77
4700,-77.115249,41.952574,3/7/77
5300,-77.115249,41.952574,4/13/77
5100,-77.115249,41.952574,5/2/77
8300,-77.115249,41.952574,7/6/77
9900,-77.115249,41.952574,8/8/77
4400,-77.115249,41.952574,10/27/77
2600,-77.115249,41.952574,3/24/78
7700,-77.115249,41.952574,6/28/78
8700,-77.115249,41.952574,8/24/78
17100,-77.115249,41.952574,1/5/09
9800,-77.115249,41.952574,3/11/09
11800,-77.115249,41.952574,9/2/09
12400,-77.115249,41.952574,10/7/09
10700,-77.115249,41.952574,12/2/09
6700,-77.115249,41.952574,2/1/10
12700,-77.115249,41.952574,8/12/10
5500,-77.115249,41.952574,12/8/11
8300,-77.115249,41.952574,4/10/12
7800,-77.115249,41.952574,6/19/12
11400,-77.115249,41.952574,8/29/12
13800,-77.115249,41.952574,3/5/13
11700,-77.115249,41.952574,7/23/13
9800,-77.115249,41.952574,4/10/14
11100,-77.115249,41.952574,6/30/14
14300,-77.115249,41.952574,8/14/14
13200,-77.115249,41.952574,5/21/15
9500,-77.115249,41.952574,7/15/15
19000,-77.115249,41.952574,11/5/15
12000,-77.115249,41.952574,4/18/16
13000,-77.115249,41.952574,6/13/16
16000,-77.115249,41.952574,11/7/16
16900,-77.115,41.9572,1/5/09
11440,-77.115,41.9572,11/3/10
9140,-77.115,41.9572,1/11/11
8210,-77.115,41.9572,9/22/11
5550,-77.115,41.9572,12/8/11
8020,-77.115,41.9572,2/22/12
8320,-77.115,41.9572,4/10/12
7820,-77.115,41.9572,6/19/12
9580,-77.115,41.9572,11/6/12
7520,-77.115,41.9572,1/2/13
13840,-77.115,41.9572,3/5/13
8090,-77.115,41.9572,5/1/13
11720,-77.115,41.9572,9/3/13
9830,-77.115,41.9572,4/10/14
11050,-77.115,41.9572,6/30/14
14270,-77.115,41.9572,8/14/14
20930,-77.115,41.9572,3/26/15
13350,-77.115,41.9572,6/13/16
7420,-77.0794,41.7956,11/3/10
10070,-77.0794,41.7956,1/11/11
8480,-77.0794,41.7956,3/9/11
10810,-77.0794,41.7956,7/12/11
7170,-77.0794,41.7956,9/22/11
3510,-77.0794,41.7956,10/4/11
6570,-77.0794,41.7956,4/10/12
10850,-77.0794,41.7956,8/29/12
6820,-77.0794,41.7956,1/2/13
14220,-77.0794,41.7956,3/6/13
6960,-77.0794,41.7956,5/20/13
17430,-77.0794,41.7956,9/3/13
10240,-77.0794,41.7956,12/12/13
17350,-77.0794,41.7956,11/17/14
9010,-77.0794,41.7956,7/15/15
15450,-77.0794,41.7956,8/6/15
24490,-77.0794,41.7956,9/30/15
15650,-77.0794,41.7956,11/5/15
500,-77.0794,41.7956,2/8/16
13920,-77.0794,41.7956,6/13/16
9850,-77.015,41.7908,2/18/16
37490,-77.015,41.7908,6/21/16
29730,-77.015,41.7908,10/11/16
24000,-77.234722,41.856111,9/17/97
780,-76.9375,41.685556,6/15/06
2000,-76.9375,41.685556,6/18/12
8000,-77.225556,41.856389,9/17/97
6870,-77.225556,41.856389,6/22/06
6980,-77.225556,41.856389,6/22/06
9310,-77.069167,41.6775,6/15/06
8150,-77.101944,41.873333,6/19/06
9700,-77.101944,41.873333,6/18/12
5000,-77.039722,41.663056,9/15/97
4220,-77.039722,41.663056,6/15/06
4300,-77.039722,41.663056,6/18/12
7630,-77.115833,41.957778,6/22/06
8000,-77.115833,41.957778,6/18/12
7330,-77.081944,41.805,6/19/06
6700,-77.081944,41.805,6/18/12
5000,-77.082778,41.730833,9/16/97
5400,-77.082778,41.730833,6/18/12
2000,-77.031944,41.653889,6/18/12
1000,-76.931944,41.695556,9/15/97
2560,-76.931944,41.695556,6/15/06
2000,-76.931944,41.695556,6/18/12
1000,-77.047745,41.658963,7/8/75
2300,-77.047745,41.658963,12/9/75
1000,-77.047745,41.658963,3/8/76
1700,-77.047745,41.658963,6/1/76
2500,-77.039411,41.66313,9/10/75
2600,-77.039411,41.66313,12/9/75
2500,-77.039411,41.66313,3/8/76
2400,-77.039411,41.66313,6/1/76
3900,-77.039411,41.66313,9/7/76
2500,-77.061079,41.671463,7/8/75
1300,-77.061079,41.671463,12/9/75
2100,-77.061079,41.671463,9/7/76
400,-77.064412,41.683408,8/5/75
13000,-77.064412,41.683408,12/9/75
900,-77.064412,41.683408,3/8/76
4500,-77.068857,41.692019,7/8/75
3100,-77.068857,41.692019,8/5/75
5300,-77.068857,41.692019,9/7/76
4800,-77.079968,41.745074,5/13/70
5700,-77.079968,41.745074,10/29/71
5000,-77.079968,41.745074,10/28/75
3000,-77.080246,41.797018,5/14/75
3000,-77.080246,41.797018,6/10/75
8500,-77.080246,41.797018,9/11/75
4000,-77.080246,41.797018,11/11/75
4500,-77.080246,41.797018,2/4/76
3000,-77.080246,41.797018,3/8/76
4200,-77.080246,41.797018,4/5/76
7400,-77.080246,41.797018,11/3/10
8500,-77.080246,41.797018,3/9/11
5400,-77.080246,41.797018,5/19/11
